Apatani,English
Aga dwto a!,"Eat quickly, ok!"
Qo lucike a!,"I will speak, ok!"
Qo áagya’bwdo.,Isn’t this Yami’s house? I have come to the wrong place.
"Haqw áajó zijema, qo hwka udeho áatema kw.",I will not come that place as there is no benefit of it.
Lemba uraho áako si pe ha?,Is this the entry to the inside of the village?
"Da’hito, áakomi da’tiñbw yo.","Move aside, don’t stand blocking the entrance."
Mwlañja’hw so áakuñto.,Everybody gather here.
Koñda áakuñfa a.,Come early tomorrow.
No áakurfi ha?,Have you returned?
"Yamuna kwle ho yasi abu dùunwñ, heñpvr aarañ du do.","Since there are lots of water in the Yamuna river, it would be very deep."
"Myodu-myolo icu do ke, aare iñto a.","Time is less, go quickly."
Swzañ mwdó abù húmanwñ swgañ si aaxa’ do.,"Since it did not rain much this year, the stream is shallow."
Wqa aba’to pe.,Help me carry the baby.
Hwka yalañ mi mubu ho abañto.,Bury that stone in the ash.
Tatu tarù soheho ábìla da’.,Tatu is swinging on a rope.
"Abi’ma rañ ke, ice birañ pe.",It is not complete yet; give me some more.
Mo ka puri rijo hw abiñne ke.,Gambo has become an officer after studying well. His effort has been fruitful.
Qo abrv he aha ahw’ bwdo.,I am forgetting something.
spear   Bíilo swre mi adañ lo nw’ne.,In the olden days the wild pigs were hunted with spears.
strong; sturdy Swka yalañ ude si adañ kapa do.,This stone house looks sturdy.
add; include; incorporate; admix  Nwka posa bare mi alw’do koda laqe dokiñdo.,"If you add your one rupee, it will be a hundred rupee."
only; exclusively; solely Qo aji ho zimw adiñ kapado.,I can see only women in the fields.
head (anatomical) Sww adiñ mi abañja’ mi bidu.,The head of the sacrificed cow is offered to the eldest brother.
"Hello, how are you?",No ayaswdu lo?
What is your name?,Nwka armyan nwla na?
My name is John.,Ngwka armyan John
I am from India.,Ngo India hokw.
Where are you going?,No inpa(na)?
I am going to the market.,(Ngo) bwjer inchi.
What time is it?,Ne bajidoku?
It is eight o’clock.,aat bajidoku.
I want to eat rice.,Ngo apin dwnado.
The food is delicious.,Apin dwpyo do.
Can you help me?,No ngwmi help bila kendoha?
Thank you very much.,Paya aropacho.
You’re welcome.,Hangw maswke.
Good morning!,Aro aya.
Good night.,Ayo aya.
I love my family.,Ngo ato uru mi ano hendu.
This is my house.,Si ngwka ude.
The house is big.,Ude (si) kayedo.
Where is the school?,Skul si nona (donw)?
I am a student.,Ngo student.
The teacher is kind.,Sarw/medam si aha keyindo.
I like to read books.,Ngwpa kheta (si) puriripyodo.
This book is interesting.,swka kheta si interesting do.
What is this?,Si nw(pya/ na)?
This is a pen.,Si Pen (ke).
The sky is blue.,Yapun (si) jijido.
It is raining today.,Swlo mudo hudo/ hulado.
The sun is shining.,Danyi byodo/ byolado.
I am feeling happy.,Ngo nenpyodo.
I am very tired.,Ngo rengwdo.
Where is the bathroom?,Nekan (si) nona (donw)?
I need water.,Yasi bipe/ tannado.
The water is cold.,Yasi (si) chancha/ lakhw do.
I have two cats.,Ngwkw Aami dornye du.
The dog is barking.,Aki pilado.
Let’s go for a walk.,kwje sotesa.
The road is long.,Lenda si obyodo.
I want to buy clothes.,Ngo abi-tarw rwnando.
How much is this?,Si ne khwdo?
It costs ten rupees.,Si barlyanhe khwdo.
